,application_number,orig_funding_request,cmtd_funding_request,consulting_firms_name,consulting_firms_email,applicant_type,applicant_city,applicant_state,cmtd_discount,service_type,function,funding_gap
2021,170064914,34713,34713,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
2022,170061576,875,875,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wireless Controller,0
2023,170065593,2176,2176,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Ups/Battery Backup,0
2024,170051028,117090,24478,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,77,Internet Access And/Or Telecommunications,Self-Provisioning,92612
2025,170049290,807,0,E-Rate Online Llc,msagnella@erateportal.com,School District,SANGER,CA,80,Basic Maintenance Of Internal Connections,Racks,807
2026,170050250,32685,32685,Educational Consortium For Telecom Savings,dbelden@eratespecialist.org,School District,WINTON,CA,90,Internet Access And/Or Telecommunications,Cellular Voice,0
2027,170058998,8847,8847,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SOUTH PASADENA,CA,40,Internal Connections,Cabling,0
2028,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Wireless Controller,17007
2029,170068515,544,544,The Miller Institute For Learning With Technology,emiller@learningtech.org,School,Gardena,CA,30,Internal Connections,Racks,0
2030,170047188,6052,6052,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,50,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
2031,170064796,53204,53204,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
2032,170065593,12074,12074,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Ups/Battery Backup,0
2033,170055157,19470,19470,Csm Consulting Inc.,kfriends@csmcentral.com,School District,DOS PALOS,CA,85,Internal Connections,Wap,0
2034,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
2035,170064861,6964,0,Mattison Enterprises,loy@surewest.net,School District,ROSEVILLE,CA,50,Internal Connections,"Antennas, Connectors, And Related Components",6964
2036,170048385,7862,7862,"E-Rate Elite Services, Inc.",clenhardt@erateelite.com,School District,Lodi,CA,20,Internet Access And/Or Telecommunications,Cellular Voice,0
2037,170047188,39129,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,39129
2038,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Wap,17007
2039,170064861,6649,0,Mattison Enterprises,loy@surewest.net,School District,ROSEVILLE,CA,50,Internal Connections,Ups/Battery Backup,6649
2040,170066991,16328,16328,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAKE ELSINORE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
2041,170061576,802,802,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
2042,170066253,29714,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Ups/Battery Backup,29714
2043,170064063,17178,17178,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Internal Connections,Router,0
2044,170055157,1955,1955,Csm Consulting Inc.,kfriends@csmcentral.com,School District,DOS PALOS,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
2045,170064914,34713,34713,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
2046,170054974,5683,5683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internal Connections,Racks,0
2047,170047995,46180,46180,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85,Internal Connections,Switches,0
2048,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Cabling,0
2049,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,"Antennas, Connectors, And Related Components",17007
2050,170054974,10866,10866,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Basic Maintenance Of Internal Connections,Switches,0
2051,170049302,33464,33325,E-Rate Online Llc,msagnella@erateportal.com,School District,CERES,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",139
2052,170049302,7530,3888,E-Rate Online Llc,msagnella@erateportal.com,School District,TRACY,CA,80,Internal Connections,Switches,3642
2053,170063442,3787,3787,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,LONG BEACH,CA,80,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
2054,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,"Antennas, Connectors, And Related Components",17007
2055,170066253,71420,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Cabling,71420
2056,170080074,11281,9186,Intrinsic Admin Corp,lara@intrinsicadmin.com,School District,BRENTWOOD,CA,50,Internal Connections,"Antennas, Connectors, And Related Components",2095
2057,170062824,864,864,Educational Consortium For Telecom Savings,dbelden@eratespecialist.org,School,OREGON HOUSE,CA,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
2058,170051839,7050,7050,Csm Consulting Inc.,kfriends@csmcentral.com,School District,COSTA MESA,CA,60,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
2059,170064063,64296,64296,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
2060,170064796,53204,53204,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Basic Maintenance Of Internal Connections,Switches,0
2061,170061576,291,291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Cabling,0
2062,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Switches,17007
2063,170076213,7202,7202,Csm Consulting Inc.,kfriends@csmcentral.com,School District,RIVERSIDE,CA,30,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
2064,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Wap,17007
2065,170081400,12653,12653,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
2066,170047995,225085,225085,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85,Internal Connections,Switches,0
2067,170049514,5400,5400,Merced County Office Of Education,erate@mcoe.org,School District,ATWATER,CA,90,Internet Access And/Or Telecommunications,Lit Fiber Service,0
2068,170061576,1459,1459,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wireless Controller,0
2069,170049290,1610,0,E-Rate Online Llc,msagnella@erateportal.com,School District,SANGER,CA,80,Internal Connections,Racks,1610
2070,170055124,1220,951,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PLACENTIA,CA,60,Internal Connections,"Antennas, Connectors, And Related Components",269
2071,170064914,42522,42522,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
2072,170048326,8160,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85,Internal Connections,Switches,8160
2073,170056607,23016,17262,The Miller Institute For Learning With Technology,emiller@learningtech.org,School,HILLSBOROUGH,CA,40,Internal Connections,"Antennas, Connectors, And Related Components",5754
2074,170065593,1360,1360,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Switches,0
2075,170049563,3264,3264,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30,Internal Connections,Wap,0
2076,170065593,7032,4866,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",2166
2077,170074924,26664,25642,Csm Consulting Inc.,kfriends@csmcentral.com,School District,HUNTINGTON BEACH,CA,50,Internal Connections,Wireless Controller,1022
2078,170054692,863,863,Funds For Learning,jharrington@fundsforlearning.com,School,LONG BEACH,CA,80,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
2079,170065593,23299,8974,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Wap,14325
2080,170064914,53084,53084,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
2081,170072786,375832,375832,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PERRIS,CA,90,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
2082,170061576,875,875,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
2083,170064914,37024,37024,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
2084,170064651,6633,6633,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,80,Basic Maintenance Of Internal Connections,Switches,0
2085,170052240,63555,58607,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85,Managed Internal Broadband Services,Existing Equipment,4948
2086,170049563,3264,3264,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30,Basic Maintenance Of Internal Connections,Wap,0
2087,170051302,94716,94716,Csm Consulting Inc.,kfriends@csmcentral.com,School District,CLOVIS,CA,60,Basic Maintenance Of Internal Connections,Switches,0
2088,170064796,46299,46299,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Basic Maintenance Of Internal Connections,Switches,0
2089,170060427,6091,6091,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WOODLAND,CA,80,Basic Maintenance Of Internal Connections,Switches,0
2090,170050536,114843,11037,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",103806
2091,170061576,583,583,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
2092,170052240,35501,31492,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85,Basic Maintenance Of Internal Connections,Racks,4009
2093,170058183,38380,38380,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SANTA ANA,CA,80,Internet Access And/Or Telecommunications,Lit Fiber Service,0
2094,170080148,32048,28405,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85,Internal Connections,Wap,3643
2095,170064861,6464,0,Mattison Enterprises,loy@surewest.net,School District,ROSEVILLE,CA,50,Internal Connections,Switches,6464
2096,170065450,4602,4602,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WHITTIER,CA,60,Internal Connections,Switches,0
2097,170066253,476216,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",476216
2098,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,17007
2099,170075348,21846,21846,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
2100,170065593,19757,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Switches,19757
2101,170047188,129718,129718,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
2102,170069647,94835,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,85,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,94835
2103,170061658,12775,12775,"Agron Consulting, Llc",bagron7@gmail.com,School District,CONCORD,CA,60,Internal Connections,"Antennas, Connectors, And Related Components",0
2104,170065593,1015,1015,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Switches,0
2105,170058298,117993,117993,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,RICHMOND,CA,20,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
2106,170076213,74100,74100,Csm Consulting Inc.,kfriends@csmcentral.com,School District,RIVERSIDE,CA,90,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
2107,170049737,11306,11306,Csm Consulting Inc.,kfriends@csmcentral.com,School District,BAKERSFIELD,CA,80,Internal Connections,Router,0
2108,170048326,191315,59763,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85,Internal Connections,Wap,131552
2109,170047719,7041,7041,Funds For Learning,jharrington@fundsforlearning.com,School District,LOS ANGELES,CA,85,Internal Connections,Firewall Service And Components,0
2110,170048934,50178,50178,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,79,Internet Access And/Or Telecommunications,Dark Fiber,0
2111,170074618,357,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,Wap,357
2112,170067963,1232,1133,The Miller Institute For Learning With Technology,emiller@learningtech.org,School,E. Palo Alto,CA,30,Internal Connections,Wap,99
2113,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Switches,17007
2114,170060899,7154,7154,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,85,Basic Maintenance Of Internal Connections,Router,0
2115,170075348,7454,7454,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
2116,170064914,38964,38964,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
2117,170065593,12074,12074,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Wap,0
2118,170054974,8491,8491,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,30,Internal Connections,Wap,0
2119,170061576,11000,11000,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
2120,170062790,1961,1961,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,70,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
